Song,Artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dataset,kmeans,dbscan
Barbie World,Nicki Minaj & Ice Spice With Aqua,741UUVE2kuITl0c6zuqqbO,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,Hot,2,0
I'm Good (Blue),David Guetta & Bebe Rexha,4uUG5RXrOk84mYEfFvj3cK,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,Hot,3,0
Dancin' In The Country,Tyler Hubbard,2KtGiBi5CrX2ERPD2PAS34,0.657,0.871,7,-4.614,1,0.0675,0.0031,0.0,0.102,0.532,114.974,Hot,2,0
Search & Rescue,Drake,3fXGxzX58uWi6kqnbco7Q4,0.595,0.879,1,-6.941,1,0.11,0.000274,0.0,0.0795,0.325,141.996,Hot,7,0
Where She Goes,Bad Bunny,7ro0hRteUMfnOioTFI5TG1,0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,Hot,5,0
Chemical,Post Malone,5w40ZYhbBMAlHYNDaVJIUu,0.498,0.897,2,-4.907,1,0.045,0.00136,0.0,0.118,0.373,169.902,Hot,7,0
Put It On Da Floor Again,Latto Featuring Cardi B,1HYfsZnq3EXwK7SV8tYPoT,0.565,0.561,1,-7.795,1,0.484,0.0241,0.0,0.499,0.448,166.707,Hot,7,0
Sabor Fresa,Fuerza Regida,1UMm1Qs3u59Wvk53zBUE8r,0.785,0.863,7,-4.599,0,0.0893,0.0883,0.0,0.0929,0.962,130.132,Hot,3,0
Tulum,Peso Pluma & Grupo Frontera,4vKApRsWLo6VFEdT6WNLze,0.557,0.866,6,-4.454,1,0.0503,0.394,0.0,0.11,0.631,167.767,Hot,7,0
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,Hot,2,0
Bury Me In Georgia,Kane Brown,2mltIbKkhQqyh8gCzaqxqA,0.391,0.816,2,-5.746,0,0.066,0.0169,0.0,0.0893,0.457,160.001,Hot,7,0
