Song,Artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dataset,kmeans,dbscan
Go Amanda,Steve Earle,3yz60wsJlg630mjAfU4qIv,0.326,0.716,10,-3.547,1,0.0306,0.00227,0.00171,0.123,0.648,143.148,Not Hot,7,0
Ferrari,James Hype;Miggy Dela Rosa,1Ef2kTon47BwiPQP2SovYa,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,Not Hot,3,0
Seek Bromance - Avicii Vocal Edit,Tim Berg;Avicii,7tSO7DrrYpiMXX3zM4b3oM,0.49,0.811,1,-2.524,0,0.044,0.0896,0.0,0.0898,0.547,125.965,Not Hot,3,0
Compromise,The Berzerker,5KWAPzQjXdavsii32pBUmp,0.303,0.971,6,-4.53,0,0.212,5.46e-06,0.563,0.336,0.0635,113.75,Not Hot,5,0
Show Me How,Men I Trust,01TyFEZu6mHbffsVfxgrFn,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,Not Hot,6,0
Vacation (feat. Veronica),Damon Empero;Veronica,6VLedRqw7wGnNa9epZ503a,0.591,0.814,6,-6.644,0,0.0507,0.238,0.357,0.333,0.472,175.991,Not Hot,3,0
Let Him Go,Ayo Jay,1vPklJ1dH1kUbHod4UH0JS,0.83,0.401,2,-6.557,1,0.0922,0.0658,0.00302,0.0691,0.69,96.024,Not Hot,2,0
Mi Noche Triste,Carlos Gardel,1nqLUAlrA6HO7H9OTxOGLj,0.582,0.402,0,-9.492,0,0.0671,0.964,0.0161,0.174,0.632,124.566,Not Hot,6,0
Searching for Salt,Lorne Balfe,0N4dszBvRk6rZ0nql0BTQN,0.378,0.28,10,-14.222,0,0.0342,0.701,0.707,0.377,0.0843,109.984,Not Hot,4,0
Where We're Going,Hans Zimmer,7e41gTSV9fKdsDqOgS47Wg,0.226,0.0244,0,-23.512,1,0.0421,0.863,0.952,0.371,0.0266,95.951,Not Hot,4,0
EMOTIONS,Jor'dan Armstrong,7l4KRMSrdLkC3M25I7HpoR,0.484,0.572,10,-6.248,0,0.106,0.245,0.0,0.177,0.397,138.342,Not Hot,3,0
NEET GAME,花冷え。,171lZBEaiKMrV9V8c6QvPE,0.492,0.974,1,-3.913,1,0.105,2.46e-05,2.84e-05,0.0646,0.192,100.946,Not Hot,7,0
Bicho de Sete Cabeças - Ao Vivo,Geraldo Azevedo;Elba Ramalho,6EJonmjC2pOwKfUHeIZyhu,0.482,0.354,9,-10.005,0,0.0345,0.739,0.0,0.913,0.379,104.297,Not Hot,0,0
Joker And The Thief,Wolfmother,6dNJ3lasVLPd0078T9yqlm,0.264,0.8,0,-2.427,1,0.0537,0.0195,0.00744,0.406,0.465,155.558,Not Hot,7,0
The Trip,Still Corners,6mxTH1ebYmEQyWAbSY1LeG,0.697,0.736,11,-6.594,0,0.0384,0.167,0.00878,0.124,0.42,120.0,Not Hot,3,0
Flowers in Fire,Cadaveria,0jRdMXriTIWk0Bjr3ZSp49,0.462,0.744,11,-8.118,0,0.0424,7.97e-05,0.0854,0.287,0.0621,134.063,Not Hot,7,0
Feels Like Home,Chantal Kreviazuk,7p8vwbbf9sMQbrdQrsmTlI,0.562,0.385,2,-7.279,1,0.0258,0.733,0.00438,0.11,0.2,99.142,Not Hot,6,0
La La La (Go Bromsten),Mwuana,0sF7vqR0wz97JopXaiGBPG,0.494,0.672,5,-5.961,0,0.289,0.156,0.0,0.133,0.585,170.71,Not Hot,3,0
Part of Me (feat. BullySongs),René LaVice;BullySongs,3zHWt6lPS3u7Sf549r8UR4,0.302,0.768,9,-2.081,1,0.0494,0.000928,0.033,0.0922,0.0317,172.857,Not Hot,7,0
Vårt Liv I Repris,Eva Eastwood & The Major Keys,2bTJ0QUfs63RrBPbvo7YO9,0.441,0.884,4,-2.988,1,0.0383,0.778,0.000508,0.088,0.873,170.758,Not Hot,2,0
Do It Alone,Greensky Bluegrass,1utD7AvgNfV5S5ssBHWO0U,0.435,0.523,2,-13.241,0,0.0353,0.636,0.174,0.087,0.375,87.839,Not Hot,6,0
Nameless and Forgotten,Justnormal,6QLNxoDZMlUm0aHwgmt6iw,0.684,0.206,0,-10.689,0,0.0321,0.973,0.935,0.116,0.143,120.041,Not Hot,4,0
La montagne,Jean Ferrat,2eAhVprzLy0aTURlyKmhGJ,0.494,0.433,7,-12.15,1,0.0365,0.673,0.000424,0.0987,0.452,115.298,Not Hot,6,0
Merry Christmas,Ed Sheeran;Elton John,055360csWJbFFGCLNxaTkx,0.594,0.935,0,-2.018,1,0.0357,0.243,2.36e-06,0.102,0.602,113.99,Not Hot,2,0
Santa Baby,Glee Cast,7f2heXmnd24lwz7ng32qZ1,0.706,0.308,8,-7.35,1,0.0343,0.6,0.0,0.254,0.62,114.974,Not Hot,6,0
In Exodus,Disfear,2qSckL3g7L0GjXoOmq3a6R,0.14,0.969,0,-3.034,1,0.239,4.15e-06,0.0337,0.213,0.145,169.489,Not Hot,7,0
Mi Necesidad,Bayron Fire,13ssrpQNIvWrC07irugQzx,0.746,0.682,5,-6.653,0,0.0499,0.0205,1.91e-05,0.129,0.45,88.05,Not Hot,3,0
Los Peces En El Rio,Traditional;Rolando Villazón;Slovak National Symphony Orchestra;Allan Wilson;James Hayto;Sam Vincent;Darran Muller,6wgcqS74qRbBwAiLaWg7m7,0.548,0.342,3,-11.74,1,0.0387,0.881,0.000111,0.113,0.305,95.866,Not Hot,6,0
Heks,Marina Herlop,6jNFu6bOsUYFMF3ejC990h,0.361,0.226,1,-12.589,0,0.0351,0.969,0.167,0.0907,0.0765,103.02,Not Hot,6,0
Nada Pasó,Panteon Rococo,4GO7nRMoH2XnvXSIUqNMqg,0.49,0.747,0,-4.628,1,0.0448,0.0759,0.000234,0.108,0.785,96.01,Not Hot,2,0
Johny Johny Yes Papa,CoComelon,4kMNsYiyy6jkDqXLBhpd44,0.932,0.194,9,-15.76,1,0.047,0.552,0.0,0.0919,0.942,119.965,Not Hot,2,0
Bright Spring Morning,Suburban Legends,2aYzMMmzEusa5DTfXfPxPm,0.578,0.969,11,-3.903,1,0.0731,0.0975,0.0,0.441,0.579,99.856,Not Hot,2,0
Ironía - En Vivo,Carajo,5gdJtkiQvi7uu94qc541B1,0.448,0.953,6,-4.277,1,0.108,0.000332,0.0,0.986,0.27,94.142,Not Hot,0,0
Dance with My Ghost (feat. Elderbrook),CamelPhat;Elderbrook,6lQzNJLgIn4uEK4NUMUcjv,0.701,0.802,10,-7.887,0,0.0407,0.00221,0.396,0.0887,0.154,123.008,Not Hot,5,0
Me and Bobby McGee,Janis Joplin,1IqFh00G2kvvMm8pRMpehA,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405,Not Hot,6,0
Not For Lack of Trying,Stuart Duncan;Edgar Meyer;Chris Thile;Yo-Yo Ma,0dpjuJLetnheYPSzLiQR62,0.28,0.0686,7,-19.994,1,0.0413,0.933,0.00653,0.155,0.103,149.423,Not Hot,6,0
Vaginale Droogheid,SRB,0SwSM6a89ZxtEwU3tzmZCS,0.688,0.985,7,-1.712,1,0.308,0.0385,0.000517,0.12,0.199,120.013,Not Hot,7,0
Tell Me Why,Armin van Buuren;Sarah Reeves,3lLQHqHJtOXWeJfqguiOd1,0.625,0.818,3,-6.211,0,0.0499,0.0397,0.465,0.325,0.26,128.006,Not Hot,5,0
Tarde D+,Rico Dalasam,1oUEVYaAihtqWsWFJjuitL,0.666,0.651,5,-7.27,1,0.0511,0.0236,0.0,0.244,0.372,95.145,Not Hot,2,0
The Universe,For Revenge,6Op5A98fDW4WDwsnfPU37e,0.626,0.868,3,-4.526,1,0.0411,0.00812,4.49e-05,0.162,0.339,134.963,Not Hot,7,0
I Want You Back (Glee Cast Version),Glee Cast,40DIoG0pcfuFOZDjPioFQc,0.686,0.817,0,-5.306,1,0.0594,0.107,0.0,0.189,0.793,107.004,Not Hot,2,0
Juliet's Dream,Abel Korzeniowski;Jasper Randall;The Hollywood Studio Symphony,1CpscCIJ2E5EtpMThnxkds,0.505,0.0994,10,-21.953,0,0.0378,0.941,0.969,0.106,0.158,142.873,Not Hot,4,0
Manifesto (feat. Lenine e Emicida),Fresno;Lenine;Emicida,3wibiU2UECiww5wkSJfPZJ,0.398,0.962,6,-3.741,1,0.106,0.0111,0.0,0.298,0.199,135.107,Not Hot,7,0
Somos un corazón,Los Solitarios,5SevxrD3IuTyu4y3YcPrLe,0.366,0.333,7,-12.817,1,0.0335,0.0932,2.36e-06,0.233,0.601,101.773,Not Hot,6,0
"Ranjha (From ""Shershaah"")",Jasleen Royal;B Praak;Romy;Anvita Dutt,72zHuDxFQTjbL51qJQSA7j,0.603,0.573,1,-5.843,1,0.0502,0.478,0.0,0.0971,0.236,82.941,Not Hot,6,0
Madrugada,Gabriela Gomes;Marquinhos Gomes,3k7X74pvPwSAHX6yMymlHW,0.42,0.563,0,-5.093,1,0.026,0.619,0.0,0.117,0.236,140.055,Not Hot,6,0
Faith,NURKO;Dia Frampton,0h0nV0TANrNwoJxLnCILoj,0.558,0.608,8,-5.772,1,0.049,0.345,0.0,0.0853,0.371,130.941,Not Hot,2,0
parents,YUNGBLUD,68rVGSTnCiFOET9k5Vd8Se,0.618,0.823,7,-4.76,1,0.0447,0.0132,0.0,0.288,0.58,82.004,Not Hot,2,0
"Fantaisie Impromptu in C-Sharp Major, Op. 66 (Allegro agitato)",Frédéric Chopin;Peter Schmalfuss,2adeoNAvnqsUb19PJkGV96,0.212,0.0622,1,-25.06,1,0.0386,0.99,0.888,0.103,0.111,72.938,Not Hot,4,0
My Broken Heart,Tiger Trap,0ut1UTeccM48xyYxGG63dg,0.175,0.802,7,-7.666,1,0.0331,0.00115,0.642,0.0996,0.949,197.182,Not Hot,7,0
Gomorrah,Lamb of God,1rnsFy41deoAFKeTTsNjNU,0.483,0.99,8,-4.508,1,0.112,0.00176,0.000958,0.183,0.232,147.111,Not Hot,7,0
おつかれサマー!,Dempagumi.Inc,7uub2vnuF8aAjh2UZBlWoh,0.566,0.981,0,-1.571,1,0.172,0.00472,4.98e-06,0.372,0.708,155.978,Not Hot,7,0
Dysentery!,Confess,23aCW41msaLcDJK9J3mxfw,0.466,0.981,9,-1.142,1,0.0797,0.00142,7.21e-05,0.0861,0.226,127.014,Not Hot,7,0
サムライハート(Some Like It Hot!!),SPYAIR,5G0NPSOTLepHxUhEMlVjWj,0.603,0.961,3,-2.069,1,0.0636,0.00319,6.09e-06,0.0477,0.549,113.02,Not Hot,2,0
MyLoveILove,Bogdan Raczynski,5BqMlJS3A70cI67vzgKKlJ,0.43,0.0465,9,-20.182,1,0.027,0.0107,0.00179,0.159,0.0932,155.505,Not Hot,6,0
Shining Underdog,Wax Tailor;Boog Brown,7baHwKZDrbFGsCz2NBKc6Q,0.684,0.391,10,-11.558,0,0.0646,0.718,0.235,0.202,0.454,85.006,Not Hot,6,0
Usted,Juan Magán;Mala Rodríguez,1thR2sfJj6FasYaXHQ98e4,0.666,0.826,0,-4.093,1,0.0625,0.017,0.0,0.285,0.343,104.701,Not Hot,2,0
TVI,Surf Curse,6DOEBCCPcdo4DmHeRiSzsm,0.286,0.945,1,-4.309,1,0.0518,0.00243,1.97e-06,0.0997,0.62,184.301,Not Hot,7,0
Sunn Raha Hai (Female),Shreya Ghoshal,2kRzgmBlmhvFvCEgMHltWz,0.482,0.595,9,-5.336,0,0.0289,0.703,0.000203,0.136,0.482,82.066,Not Hot,3,0
One Man's Dream,Yanni,53Lfqp8F0KCInwcFjabMJB,0.363,0.115,0,-20.386,0,0.0352,0.984,0.975,0.135,0.188,122.598,Not Hot,4,0
Whippet,eXterio,4noOfdgUVxheBJnvOTSKhB,0.678,0.833,1,-3.933,0,0.0431,0.0327,0.0,0.0691,0.63,125.176,Not Hot,3,0
Ennadi Maayavi Nee,Santhosh Narayanan;Sid Sriram,47Cd4WP1ZOK8WXC68kqZ03,0.55,0.246,0,-12.503,0,0.03,0.834,0.00279,0.0977,0.218,119.836,Not Hot,6,0
Marasmo,Ventania,4qeKW6iHErETwNb4sgdYkZ,0.693,0.511,9,-6.565,0,0.0567,0.773,4.52e-06,0.0708,0.65,114.982,Not Hot,3,0
Wij Zijn Nu Binnen - DJ Patjoo Remix,Marco Kraats,64GStGVnGcyfmUr4dqnJ77,0.598,0.845,4,-6.407,1,0.0768,0.00409,0.0,0.0701,0.671,154.993,Not Hot,2,0
Absoluta / Que Dure para Sempre / Interfone / Quando É Amor,Thiago Soares;Grupo Menos É Mais,2KDh8WCdnPKTQz2lvIL2bv,0.661,0.634,0,-8.761,1,0.05,0.753,0.0,0.0926,0.869,162.118,Not Hot,2,0
Blue Moon,Billie Holiday,1pZn8AX1WulW8IO338hE5D,0.639,0.269,8,-11.435,1,0.0698,0.982,0.12,0.141,0.539,124.866,Not Hot,6,0
Cold Cold Cold,Cage The Elephant,1Q3t9fWvHUXKsMmpD2XpUu,0.549,0.789,5,-6.071,1,0.0313,0.0178,6.7e-05,0.059,0.715,136.125,Not Hot,2,0
Amanhã ou Depois,Nenhum De Nós,3G7Y6YBp2OjIe8hez3HCoq,0.56,0.783,7,-5.695,1,0.0249,0.136,1.18e-05,0.329,0.734,94.008,Not Hot,2,0
Deus Forte,Kleber Lucas,2DXAv8MRfb1uoJTF827CK0,0.412,0.643,7,-8.444,1,0.0315,0.0595,0.0,0.972,0.373,85.425,Not Hot,0,0
別對我說以後,Feng Ze,1tUX3ANNsyPzwQSMiILWha,0.577,0.788,2,-5.033,1,0.0332,0.173,0.0,0.089,0.339,81.013,Not Hot,2,0
La nave del olvido,Il Volo,2VDNCRF4ZyiCMMfQmWdogd,0.233,0.7,11,-3.564,0,0.0371,0.523,0.0,0.109,0.233,95.642,Not Hot,3,0
Lei O Pi'ilani,Kuana Torres Kahele,0Qs8vlwMO7M22jOpwWWVEs,0.491,0.297,7,-8.618,1,0.0279,0.707,0.000157,0.103,0.24,75.477,Not Hot,6,0
Moonlight In Vermont,Ella Fitzgerald;Louis Armstrong,0OpPGBkgaZ6zCWKAYXPNpc,0.427,0.0916,0,-15.364,1,0.039,0.977,0.000235,0.0855,0.111,100.7,Not Hot,6,0
Distancia 1.5,Porta,3DAR8j8yceJ2JD0AI6ESje,0.637,0.885,3,-5.605,1,0.355,0.325,0.0,0.0988,0.55,90.401,Not Hot,2,0
Kankickz,Type.Raw,2eh0oh1lxi9ZMaor7ILEtY,0.598,0.549,10,-9.953,0,0.107,0.804,0.458,0.135,0.444,86.071,Not Hot,6,0
傻癡癡,Leon Lai,4c7uOw3cFYQFauOMy0BdBV,0.582,0.373,10,-11.479,1,0.03,0.461,0.0,0.1,0.281,106.743,Not Hot,6,0
Zehn Nackte Friseusen 2003,Mickie Krause,0lFo6asV6Ke962qerPuYPp,0.659,0.951,1,-4.085,0,0.0431,0.0106,0.00341,0.161,0.739,132.73,Not Hot,3,0
Vê Se Vigia,Jefte Santos,5NFTXXhjDzWhoX0jg3Azdd,0.754,0.814,1,-7.555,1,0.0627,0.0975,0.0,0.162,0.906,99.975,Not Hot,2,0
Samba De Arerê - Ao Vivo,Beth Carvalho,1mXSMXuod60fZA5rns0X2H,0.59,0.756,8,-7.578,0,0.252,0.616,0.0,0.713,0.87,101.589,Not Hot,0,0
The Observer,Kasper Koman,6QoVPPIRdkiNCVcCUJOzbI,0.804,0.962,7,-8.818,1,0.0522,7.48e-05,0.864,0.0467,0.576,120.998,Not Hot,5,0
Beautiful Scars,Maximillian,1Hu42ZLWG9dHaVOPiWyEmE,0.706,0.457,4,-8.667,0,0.0597,0.369,0.0,0.106,0.427,144.962,Not Hot,3,0
MEAN! - Remix,Madeline The Person;Noah Kahan,6OnVnET6zmYJzsj18wuAaf,0.455,0.389,7,-9.323,1,0.255,0.901,0.0,0.0947,0.449,174.444,Not Hot,6,0
Like Flames,MindaRyn,4xBBNJ8spMyuJynOQxJf7e,0.499,0.89,7,-8.256,0,0.0508,0.00145,1.38e-05,0.345,0.609,175.011,Not Hot,7,0
Mil flores,Ferrugem,74nUOLSuEMWeQ9emYfvjCJ,0.637,0.395,4,-9.767,0,0.0336,0.591,0.0,0.103,0.628,135.852,Not Hot,3,0
My Main Trial Is Yet To Come,Hank Williams,7wBTTEVjvMnaj8OC3zaNcm,0.614,0.192,2,-12.976,1,0.0308,0.883,0.0,0.605,0.406,124.258,Not Hot,6,0
Belfast - Yotto Remix,Orbital;Yotto,03cAFCWyzUOFus6Os8EoQG,0.608,0.895,0,-9.447,1,0.042,0.000204,0.753,0.11,0.0699,123.007,Not Hot,5,0
Without You - Acoustic Version,高爾宣 OSN;Vicky Chen,3dGkfiu2IKSWZRfmBoUxvV,0.544,0.715,8,-3.333,1,0.0478,0.59,0.0,0.0624,0.573,153.894,Not Hot,2,0
Doggy Style - 20 Fingers Mix,Fast Eddie;20 Fingers,3ivqKUVu6uZX6JQvGnaGAR,0.872,0.959,8,-2.895,0,0.0769,0.0154,0.0812,0.108,0.917,128.991,Not Hot,3,0
Humse Khafa,Suzonn,5JbvDBWAFvOnlr53Q9cD5P,0.493,0.336,10,-9.053,1,0.0265,0.794,0.0057,0.0984,0.378,140.056,Not Hot,6,0
People I Don't Like,UPSAHL,5srKMwXoeyrRnyTnNbpgIW,0.747,0.573,11,-6.562,0,0.295,0.268,0.0,0.302,0.551,90.036,Not Hot,3,0
Commence - Original Mix,Scott Brown;Plus System,1ymeK0jgt4dLojhjbEXoIT,0.508,0.967,7,-4.594,1,0.0546,0.000297,0.86,0.0741,0.151,170.025,Not Hot,5,0
airplane thoughts,dhruv,4t5joZkdlXlvzLXJbkgppJ,0.677,0.454,2,-8.555,0,0.0673,0.83,8.55e-05,0.274,0.273,80.045,Not Hot,6,0
Forza del destino - Pace mio Dio e Finale,Giuseppe Verdi;Vincenzo Ciliberti,6hzl97YCTQpHzaCi1AJD8D,0.256,0.516,10,-9.279,1,0.0449,0.988,0.921,0.746,0.193,75.54,Not Hot,4,0
No One Is To Blame,Howard Jones,6SsEaNkApgjnuFBgGNJTKa,0.777,0.375,9,-11.13,1,0.0276,0.509,0.000437,0.178,0.669,95.092,Not Hot,2,0
Breakthrough Miracle Power,Passion;Kristian Stanfill,7ATRQZwETMu5jFYzXiMjNc,0.488,0.555,8,-6.777,1,0.0271,0.136,0.0,0.114,0.202,143.886,Not Hot,7,0
Het Tietenlied,Kinderen voor Kinderen,4T2mvqNOm67uvkCyfIHzPV,0.799,0.512,2,-7.114,1,0.0386,0.416,0.0,0.214,0.41,120.117,Not Hot,2,0
Armas de Destrucción,Elektroduendes,6Fuz8QFrm77XJFgY3JCS2m,0.452,0.94,2,-7.563,0,0.0415,0.00279,0.00125,0.0634,0.771,112.673,Not Hot,3,0
I Don't Want To,Cheyenne Jackson,02GSe4Hww1RWvmt9JS3bPc,0.384,0.0719,5,-13.784,1,0.037,0.888,1.48e-06,0.108,0.292,84.57,Not Hot,6,0
Saguaro Dew,Dan Gibson's Solitudes,0q59Jkp2k9QEXctrkNokst,0.19,0.034,4,-26.14,0,0.0414,0.963,0.575,0.337,0.0381,79.387,Not Hot,4,0
Black Rover,Vickeblanka,0OGw7V8wAI6OsZIQ12JkTP,0.592,0.937,11,-4.905,1,0.0442,0.00139,1.74e-05,0.189,0.529,102.073,Not Hot,2,0
Best Friends - Studio,Hillsong Young & Free,0s9o5zNpoRcYkXOVeLASCa,0.491,0.828,11,-5.368,1,0.0311,0.0829,0.0,0.222,0.509,75.001,Not Hot,2,0
メレンゲ,Macaroni Empitsu,3yMgTrau91ftrziL48Q3OM,0.573,0.697,2,-3.988,1,0.0355,0.0127,0.0,0.102,0.647,103.982,Not Hot,2,0
Believe in the Funk,Ed Solo;Skool Of Thought,3ZhiOeUS44r1vB55PZ351R,0.803,0.861,1,-5.284,1,0.0613,0.000656,0.795,0.0853,0.835,128.005,Not Hot,5,0
Cerebellum,"Sarah, the Illstrumentalist",1DZ3yaRTgv0pUh02jSDOq3,0.65,0.84,9,-10.832,0,0.053,0.192,0.868,0.0835,0.0951,123.047,Not Hot,5,0
Attila - Mentre gonfiarsi l'anima,Giuseppe Verdi;Vincenzo Ciliberti,2B1MmCSzH8MRj6kIImsgbq,0.232,0.246,5,-12.142,1,0.0366,0.976,0.902,0.13,0.183,103.736,Not Hot,4,0
Kaabil Hoon,Jubin Nautiyal;Palak Muchhal,0Bph99neebTJZ6rsIhd0sN,0.662,0.873,11,-3.927,1,0.0489,0.043,1.71e-06,0.338,0.532,89.972,Not Hot,2,0
The torment of triton - Official Masters of Hardore Anthem,Korsakoff,1uA459lVdp7ncv4cIG2ef8,0.446,0.794,11,-7.976,0,0.183,0.0419,0.457,0.344,0.31,172.03,Not Hot,7,0
The Power (feat. Dizzee Rascal) - Radio Edit,DJ Fresh;Dizzee Rascal,6nq8E2aA2xCwGNE36VMiF7,0.547,0.943,8,-1.881,1,0.0909,0.0141,0.0,0.357,0.609,122.019,Not Hot,2,0
ピーク,NMB48,41fgoMv0AG7PutmaU7NLZn,0.534,0.958,1,-3.318,1,0.0968,0.269,3.62e-05,0.331,0.663,137.976,Not Hot,2,0
Go Amanda,Steve Earle,3yz60wsJlg630mjAfU4qIv,0.326,0.716,10,-3.547,1,0.0306,0.00227,0.00171,0.123,0.648,143.148,Not Hot,7,0
The Light Is a Train,Vitalic,6eNbZHgy85Hsw6JGME1j6P,0.864,0.828,4,-8.525,0,0.147,0.0118,0.886,0.107,0.0846,127.016,Not Hot,5,0
This Is Mutha F**ker! - Original Censored Mix,Digital Boy,06HoTI0aXg9pebBNLT3JXm,0.777,0.708,11,-10.281,1,0.068,0.00258,0.183,0.369,0.718,130.919,Not Hot,2,0
Give Me Forever (I Do),John Tesh;James Ingram,52AS97tGBON6veIFH3imn5,0.373,0.354,0,-10.233,1,0.0279,0.532,2.25e-06,0.146,0.131,106.081,Not Hot,6,0
Call Me,Blondie,7HKxTNVlkHsfMLhigmhC0I,0.554,0.833,2,-6.667,0,0.0347,0.000646,0.0025,0.0737,0.773,142.673,Not Hot,3,0
Someone You Loved - Acoustic,Plamina,3Mq1SOKwAPYgE0ZtPzvWZZ,0.647,0.298,3,-7.91,1,0.0311,0.861,0.0,0.12,0.31,106.244,Not Hot,6,0
Brothers Unite,Brothers of Metal,0Hg6cD0VepM1bnjl0lObQ3,0.476,0.713,7,-7.024,1,0.0667,0.000838,0.000206,0.0802,0.564,183.032,Not Hot,7,0
Твоё имя,Midix;Chuyko;Lirin,3pnDtR95ry9g3eq7XmOcGg,0.781,0.605,4,-3.485,1,0.0321,0.00344,0.000283,0.264,0.662,98.962,Not Hot,2,0
"Weiß der Geier / Verlieben, verloren, vergessen, verzeih'n / 7 Tage – 7 Nächte / Du bist ein Wunder / Augen zu und durch",Mountain Crew,31DWTPWRrXRyYlPN9NqEFu,0.595,0.936,0,-6.162,1,0.0374,0.00362,5.05e-06,0.377,0.845,139.063,Not Hot,2,0
You and Me,Addict.;Federico Martelli;Byjoelmichael,2xJLyTiJMW1XzSdCj4KtNQ,0.704,0.364,4,-13.02,1,0.0811,0.652,0.122,0.0987,0.159,77.994,Not Hot,6,0
Clarity,Zedd;Foxes,0WKDzn96q4kY1Bpd9ExnkX,0.509,0.781,8,-3.48,1,0.0721,0.0391,0.0,0.0749,0.176,128.002,Not Hot,7,0
"Oi, Jesus - Ao Vivo",Isadora Pompeo,6zdmTmUcPqzkKspU2miNBc,0.591,0.307,2,-9.527,1,0.0311,0.25,0.0,0.756,0.234,130.007,Not Hot,0,0
Nambikaiyum,Gersson Edinbaro,29sfu2rGDMTQIYpMNa3yZG,0.773,0.87,7,-6.441,1,0.0847,0.185,6.15e-05,0.295,0.878,135.008,Not Hot,2,0
Promesses - Radio Edit,Tchami;Kaleem Taylor,75usYC3ytzfttweGDXKMdE,0.721,0.782,0,-6.585,0,0.0573,0.00986,0.00563,0.0992,0.506,124.088,Not Hot,3,0
My Heart's Not Here With You,Inner City,6TlQnLdIYdwe07SHkTkjNQ,0.619,0.721,11,-12.511,0,0.0314,0.237,0.00955,0.0868,0.698,124.883,Not Hot,3,0
Somebody Else's Guy,Jocelyn Brown,7wq9dxlN8HS91W4lIiwDlh,0.707,0.813,6,-6.354,1,0.0693,0.252,0.0196,0.212,0.738,102.996,Not Hot,2,0
Stay,Zedd;Alessia Cara,4HGq8ZzrPOtXxNEXN4XGFu,0.689,0.623,5,-5.025,0,0.0621,0.254,0.0,0.113,0.546,101.998,Not Hot,3,0
To Sozinho,Aviões do Forró,3A6iJKSDmkfHkj3ukvBKM5,0.662,0.911,7,-6.054,1,0.106,0.467,0.0,0.319,0.872,180.038,Not Hot,2,0
Knee Socks,Arctic Monkeys,2LGdO5MtFdyphi2EihANZG,0.665,0.542,11,-8.323,0,0.033,0.123,0.00291,0.342,0.587,97.975,Not Hot,3,0
Today and it’s gone (Munich Session),Carlos Cipa,2w2ILZhs6v4kAEPD8GLIJj,0.3,0.0296,4,-25.094,0,0.0355,0.975,0.913,0.0786,0.0798,68.118,Not Hot,4,0
Sueño por Sueño,Magneto,1emXmdgsZW9YqhhhDzHYaI,0.535,0.415,11,-11.765,1,0.0351,0.325,3.47e-05,0.0956,0.173,72.975,Not Hot,6,0
Las Dos Monedas,Julio Preciado Y Su Banda Perla Del Pacifico,0keU4gyeaRX69PJziMMwwP,0.665,0.526,7,-8.149,1,0.0381,0.502,0.0,0.133,0.975,98.206,Not Hot,2,0
Até Você Voltar Pra Mim,Zé Vaqueiro,2sNb39NBEOOikeFCCBNdnF,0.734,0.929,8,-2.348,1,0.0433,0.534,0.0141,0.0881,0.969,154.046,Not Hot,2,0
Jeová Jireh,Aline Barros,0cEUrAqLYJafXksIpIBov4,0.4,0.758,7,-7.683,1,0.0534,0.00438,0.0,0.229,0.114,133.928,Not Hot,7,0
Low,Wage War,2miDOaZ3uuYy0mmNK91MoB,0.501,0.966,1,-3.22,1,0.0534,1.25e-05,5.74e-05,0.12,0.497,129.994,Not Hot,7,0
Ne Güzel Oldu,Fikri Karayel,5J9j7wfyWzL0vAiRu2j40n,0.423,0.356,4,-12.999,0,0.0374,0.822,4.99e-05,0.203,0.636,142.463,Not Hot,6,0
Sign,FLOW,0xmWQKzc5m9rLv2ucDWxwD,0.363,0.914,11,-2.899,0,0.0983,0.00183,0.0,0.335,0.678,177.968,Not Hot,7,0
Cabelo Bagunçado,Agnes Nunes;Neo Beats,5HnS5kHBcUEleSVO0IooQD,0.494,0.442,9,-8.764,1,0.106,0.437,0.00049,0.111,0.4,89.506,Not Hot,6,0
5 Deep on Charlie,The Tony Danza Tapdance Extravaganza,6KmkReUvZb3CSCPNre7Mgn,0.305,0.958,1,-6.471,1,0.167,9.44e-06,0.739,0.292,0.137,122.803,Not Hot,5,0
Inútil - Acústico,Ultraje a Rigor,6NAn7eEExGOlf37BW9sZdJ,0.416,0.97,4,-5.106,0,0.0639,0.0148,3.32e-06,0.328,0.733,175.215,Not Hot,7,0
Tacutun,Romperayo,1OJpFc9AKsEfBFCywsa6ds,0.785,0.671,10,-7.913,1,0.15,0.019,0.748,0.203,0.601,122.966,Not Hot,5,0
Wrath of Aeshma,From The Vastland,0aEIwm3Bze8z5FuASbBdLs,0.401,0.974,1,-5.695,1,0.099,1.23e-06,0.863,0.323,0.115,120.087,Not Hot,5,0
Playboy,Fireboy DML,2AKS1HhpLu2rgkojECUm3V,0.541,0.667,2,-7.821,1,0.131,0.347,1.49e-06,0.0591,0.831,155.117,Not Hot,2,0
Eye Of The Storm,Sebastian Kamae;Mindr,4DTfDKKSDkUeTWrTdmbSWe,0.607,0.191,10,-9.553,0,0.0309,0.962,0.926,0.109,0.113,86.994,Not Hot,4,0
